month,hof
1,0.995850622
2,1.98758616
3,2.975240481
4,3.958847038
5,4.938438875
6,5.914048631
7,6.88570855
8,7.853450485
9,8.817305907
10,9.777305907
11,10.73348121
12,11.68586216
13,12.63447876
14,13.57936065
15,14.52053712
16,15.45803712
17,16.39188926
18,17.32212182
19,18.24876274
20,19.17183967
21,20.0913799
22,21.00741043
23,21.91995796
24,22.82904887
25,23.73470925
26,24.63696489
27,25.53584129
28,26.43136368
29,27.32355699
30,28.21244588
31,29.09805473
32,29.98040767
33,30.85952855
34,31.73544096
35,32.60816823
36,33.47773345
37,34.34415944
38,35.2074688
39,36.06768385
40,36.92482671
41,37.77891923
42,38.62998306
43,39.4780396
44,40.32311002
45,41.16521529
46,42.00437613
47,42.84061306
48,43.67394639
49,44.50439622
50,45.33198243
51,46.15672469
52,46.9786425
53,47.79775513
54,48.61408166
55,49.42764098
56,50.23845179
57,51.0465326
58,51.85190173
59,52.65457732
60,53.45457732
61,54.25191951
62,55.04662149
63,55.8387007
64,56.62817439
65,57.41505963
66,58.19937336
67,58.98113232
68,59.76035309
69,60.53705212
70,61.31124567
71,62.08294985
72,62.85218062
73,63.61895378
74,64.38328499
75,65.14518976
76,65.90468343
77,66.66178122
78,67.4164982
79,68.1688493
80,68.9188493
81,69.66651285
82,70.41185446
83,71.15488852
84,71.89562926
85,72.6340908
86,73.37028712
87,74.10423207
88,74.83593939
89,75.56542267
90,76.2926954
91,77.01777093
92,77.74066249
93,78.46138321
94,79.17994609
95,79.896364
96,80.61064971
97,81.32281589
98,82.03287506
99,82.74083966
100,83.44672201
101,84.15053433
102,84.85228871
103,85.55199717
104,86.24967159
105,86.94532376
106,87.63896538
107,88.33060803
108,89.0202632
109,89.70794229
110,90.39365657
111,91.07741726
112,91.75923544
113,92.43912212
114,93.11708823
115,93.79314456
116,94.46730187
117,95.13957078
118,95.80996184
119,96.47848551
120,97.14515218
121,97.80997212
122,98.47295555
123,99.13411257
124,99.79345323
125,100.4509875
126,101.1067252
127,101.7606761
128,102.4128501
129,103.0632566
130,103.7119052
131,104.3588055
132,105.0039668
133,105.6473984
134,106.2891096
135,106.9291096
136,107.5674075
137,108.2040123
138,108.8389329
139,109.4721783
140,110.1037572
141,110.7336785
142,111.3619508
143,111.9885826
144,112.6135826
145,113.2369592
146,113.8587209
147,114.4788759
148,115.0974326
149,115.7143992
150,116.3297838
151,116.9435946
152,117.5558395
153,118.1665265
154,118.7756635
155,119.3832585
156,119.9893191
157,120.5938531
158,121.1968682
159,121.7983719
160,122.3983719
161,122.9968757
162,123.5938906
163,124.1894241
164,124.7834835
165,125.3760761
166,125.9672091
167,126.5568897
168,127.145125
169,127.731922
170,128.3172879
171,128.9012295
172,129.4837538
173,130.0648676
174,130.6445777
175,131.222891
176,131.7998141
177,132.3753536
178,132.9495163
179,133.5223087
180,134.0937372
181,134.6638085
182,135.2325289
183,135.7999048
184,136.3659425
185,136.9306484
186,137.4940287
187,138.0560895
188,138.6168372
189,139.1762778
190,139.7344173
191,140.2912619
192,140.8468174
193,141.4010899
194,141.9540853
195,142.5058095
196,143.0562682
197,143.6054673
198,144.1534125
199,144.7001095
200,145.245564
201,145.7897817
202,146.3327682
203,146.8745289
204,147.4150694
205,147.9543953
206,148.4925119
207,149.0294246
208,149.5651389
209,150.0996601
210,150.6329934
211,151.1651442
212,151.6961176
213,152.2259189
214,152.7545533
215,153.2820258
216,153.8083416
217,154.3335057
218,154.8575232
219,155.380399
220,155.9021381
221,156.4227455
222,156.942226
223,157.4605846
224,157.9778259
225,158.493955
226,159.0089764
227,159.5228951
228,160.0357156
229,160.5474427
230,161.058081
231,161.5676351
232,162.0761097
233,162.5835093
234,163.0898384
235,163.5951015
236,164.0993032
237,164.6024479
238,165.1045399
239,165.6055838
240,166.1055838
241,166.6045442
242,167.1024696
243,167.599364
244,168.0952317
245,168.5900771
246,169.0839043
247,169.5767174
248,170.0685207
249,170.5593182
250,171.0491141
251,171.5379125
252,172.0257174
253,172.5125328
254,172.9983628
255,173.4832113
256,173.9670822
257,174.4499796
258,174.9319073
259,175.4128692
260,175.8928692
261,176.3719112
262,176.8499988
263,177.327136
264,177.8033265
265,178.278574
266,178.7528823
267,179.2262551
268,179.698696
269,180.1702088
270,180.640797
271,181.1104643
272,181.5792143
273,182.0470506
274,182.5139767
275,182.9799961
276,183.4451124
277,183.909329
278,184.3726495
279,184.8350772
280,185.2966157
281,185.7572683
282,186.2170384
283,186.6759294
284,187.1339447
285,187.5910875
286,188.0473613
287,188.5027692
288,188.9573147
289,189.4110009
290,189.8638311
291,190.3158085
292,190.7669363
293,191.2172177
294,191.6666559
295,192.1152541
296,192.5630153
297,193.0099426
298,193.4560393
299,193.9013083
300,194.3457527
301,194.7893757
302,195.2321801
303,195.674169
304,196.1153455
305,196.5557125
306,196.9952729
307,197.4340298
308,197.871986
309,198.3091445
310,198.7455081
311,199.1810798
312,199.6158624
313,200.0498588
314,200.4830718
315,200.9155042
316,201.3471589
317,201.7780386
318,202.2081461
319,202.6374842
320,203.0660557
321,203.4938631
322,203.9209094
323,204.3471971
324,204.7727291
325,205.1975078
326,205.6215361
327,206.0448165
328,206.4673517
329,206.8891443
330,207.310197
331,207.7305122
332,208.1500926
333,208.5689408
334,208.9870593
335,209.4044506
336,209.8211172
337,210.2370618
338,210.6522867
339,211.0667945
340,211.4805876
341,211.8936685
342,212.3060396
343,212.7177034
344,213.1286623
345,213.5389187
346,213.948475
347,214.3573336
348,214.7654969
349,215.1729672
350,215.5797469
351,215.9858382
352,216.3912436
353,216.7959654
354,217.2000058
355,217.6033671
356,218.0060517
357,218.4080617
358,218.8093995
359,219.2100673
360,219.6100673
361,220.0094018
362,220.4080729
363,220.8060828
364,221.2034338
365,221.600128
366,221.9961676
367,222.3915548
368,222.7862916
369,223.1803803
370,223.5738229
371,223.9666216
372,224.3587785
373,224.7502956
374,225.1411751
375,225.531419
376,225.9210294
377,226.3100083
378,226.6983578
379,227.0860799
380,227.4731767
381,227.8596501
382,228.2455022
383,228.630735
384,229.0153504
385,229.3993504
386,229.7827369
387,230.1655121
388,230.5476777
389,230.9292357
390,231.3101881
391,231.6905367
392,232.0702836
393,232.4494305
394,232.8279794
395,233.2059321
396,233.5832906
397,233.9600567
398,234.3362323
399,234.7118191
400,235.0868191
401,235.4612341
402,235.8350659
403,236.2083163
404,236.5809871
405,236.9530801
406,237.3245971
407,237.6955399
408,238.0659103
409,238.43571
410,238.8049408
411,239.1736044
412,239.5417025
413,239.909237
414,240.2762094
415,240.6426217
416,241.0084753
417,241.3737721
418,241.7385138
419,242.1027019
420,242.4663383
421,242.8294245
422,243.1919623
423,243.5539532
424,243.915399
425,244.2763013
426,244.6366616
427,244.9964817
428,245.3557632
429,245.7145076
430,246.0727165
431,246.4303916
432,246.7875345
433,247.1441467
434,247.5002298
435,247.8557853
436,248.2108149
437,248.5653201
438,248.9193024
439,249.2727633
440,249.6257045
441,249.9781274
442,250.3300336
443,250.6814245
444,251.0323017
445,251.3826667
446,251.7325209
447,252.0818659
448,252.4307031
449,252.779034
450,253.1268601
451,253.4741828
452,253.8210036
453,254.167324
454,254.5131453
455,254.858469
456,255.2032966
457,255.5476295
458,255.891469
459,256.2348166
460,256.5776738
461,256.9200418
462,257.2619222
463,257.6033162
464,257.9442253
465,258.2846508
466,258.6245942
467,258.9640567
468,259.3030397
469,259.6415447
470,259.9795728
471,260.3171256
472,260.6542042
473,260.9908101
474,261.3269446
475,261.6626089
476,261.9978044
477,262.3325325
478,262.6667943
479,263.0005913
480,263.3339246
481,263.6667956
482,263.9992056
483,264.3311558
484,264.6626475
485,264.993682
486,265.3242605
487,265.6543843
488,265.9840546
489,266.3132727
490,266.6420398
491,266.9703572
492,267.2982261
493,267.6256476
494,267.9526231
495,268.2791537
496,268.6052407
497,268.9308852
498,269.2560884
499,269.5808516
500,269.9051759
501,270.229
502,270.5525
503,270.8755
504,271.1981
505,271.5202
506,271.8419
507,272.1632
508,272.4841
509,272.8045
510,273.1245
511,273.4441
512,273.7632
513,274.0819
514,274.4002
515,274.7181
516,275.0356
517,275.3526
518,275.6692
519,275.9855
520,276.3012
521,276.6166
522,276.9316
523,277.2461
524,277.5603
525,277.874
526,278.1873
527,278.5002
528,278.8127
529,279.1248
530,279.4365
531,279.7478
532,280.0587
533,280.3691
534,280.6792
535,280.9889
536,281.2982
537,281.607
538,281.9155
539,282.2236
540,282.5313
541,282.8386
542,283.1455
543,283.452
544,283.7581
545,284.0639
546,284.3692
547,284.6742
548,284.9787
549,285.2829
550,285.5867
551,285.8901
552,286.1932
553,286.4958
554,286.7981
555,287.1
556,287.4015
557,287.7026
558,288.0034
559,288.3037
560,288.6037
561,288.9034
562,289.2026
563,289.5015
564,289.8
565,290.0981
566,290.3959
567,290.6933
568,290.9903
569,291.287
570,291.5833
571,291.8792
572,292.1748
573,292.47
574,292.7648
575,293.0593
576,293.3534
577,293.6472
578,293.9406
579,294.2336
580,294.5263
581,294.8186
582,295.1106
583,295.4022
584,295.6935
585,295.9844
586,296.275
587,296.5652
588,296.855
589,297.1445
590,297.4337
591,297.7225
592,298.0109
593,298.2991
594,298.5868
595,298.8743
596,299.1613
597,299.4481
598,299.7345
599,300.0205
600,300.3062
601,300.5916
602,300.8766
603,301.1613
604,301.4457
605,301.7297
606,302.0134
607,302.2968
608,302.5798
609,302.8625
610,303.1448
611,303.4268
612,303.7085
613,303.9899
614,304.2709
615,304.5516
616,304.832
617,305.1121
618,305.3918
619,305.6712
620,305.9502
621,306.229
622,306.5074
623,306.7855
624,307.0633
625,307.3407
626,307.6179
627,307.8947
628,308.1712
629,308.4474
630,308.7232
631,308.9988
632,309.274
633,309.5489
634,309.8235
635,310.0978
636,310.3718
637,310.6454
638,310.9188
639,311.1918
640,311.4646
641,311.737
642,312.0091
643,312.2809
644,312.5524
645,312.8236
646,313.0944
647,313.365
648,313.6353
649,313.9052
650,314.1749
651,314.4443
652,314.7133
653,314.9821
654,315.2505
655,315.5187
656,315.7866
657,316.0541
658,316.3214
659,316.5883
660,316.855
661,317.1214
662,317.3875
663,317.6532
664,317.9187
665,318.1839
666,318.4488
667,318.7134
668,318.9777
669,319.2418
670,319.5055
671,319.769
672,320.1321
673,320.295
674,320.5576
675,320.8199
676,321.0819
677,321.3436
678,321.605
679,321.8662
680,322.127
681,322.3876
682,322.6479
683,322.908
684,323.1677
685,323.4272
686,323.6863
687,323.9452
688,324.2039
689,324.4622
690,324.7203
691,324.9781
692,325.2356
693,325.4928
694,325.7498
695,326.0064
696,326.2629
697,326.519
698,326.7749
699,327.0304
700,327.2858
701,327.5408
702,327.7956
703,328.0501
704,328.3043
705,328.5583
706,328.812
707,329.0654
708,329.3186
709,329.5715
710,329.8241
711,330.0765
712,330.3286
713,330.5804
714,330.832
715,331.0833
716,331.3344
717,331.5851
718,331.8357
719,332.0859
720,332.3359
721,332.5857
722,332.8351
723,333.0844
724,333.3333
725,333.582
726,333.8305
727,334.0787
728,334.3266
729,334.5743
730,334.8217
731,335.0689
732,335.3158
733,335.5624
734,335.8089
735,336.055
736,336.3009
737,336.5466
738,336.792
739,337.0371
740,337.282
741,337.5266
742,337.771
743,338.0152
744,338.2591
745,338.5028
746,338.7462
747,338.9893
748,339.2322
749,339.4749
750,339.7173
751,339.9595
752,340.2014
753,340.4431
754,340.6846
755,340.9258
756,341.1668
757,341.4075
758,341.648
759,341.8882
760,342.1282
761,342.368
762,342.6075
763,342.8468
764,343.0858
765,343.3246
766,343.5632
767,343.8015
768,344.0396
769,344.2775
770,344.5151
771,344.7525
772,344.9896
773,345.2266
774,345.4632
775,345.6997
776,345.9359
777,346.1719
778,346.4077
779,346.6432
780,346.8785
781,347.1135
782,347.3484
783,347.583
784,347.8174
785,348.0515
786,348.2854
787,348.5191
788,348.7526
789,348.9858
790,349.2188
791,349.4516
792,349.6842
793,349.9165
794,350.1486
795,350.3805
796,350.6121
797,350.8436
798,351.0748
799,351.3058
800,351.5366
